res_id,name,addr,locality,lat,long,cusines,aggr_rating,rate_text,votes
18353121,Flechazo,"9/1, 1st Floor, Above Surya Nissan, VRR Orchid, Doddanakkundi, Marathahalli, Bangalore",Marathahalli,12.9744431580,77.6973469555,"Asian, Mediterranean, North Indian, Desserts",4.5,Excellent,7683
56573,Biryani Pot,"18, 4th Main, 14th Cross,  4th Link Road, Maruthi Nagar, Madiwala, BTM, Bangalore",BTM,12.9219087707,77.6166335866,Biryani,3.9,Good,1152
18503723,Onesta,"2318, 27th Main Road, 1st Sector, HSR, Bangalore",HSR,12.9122092616,77.6518164575,"Pizza, Italian, Fast Food, Beverages, Desserts",4.3,Very Good,3996
50474,Empire Restaurant,"103, Industrial Area, 5th Block, Near Jyothi Nivas College",Koramangala 5th Block,12.9348821453,77.6159456000,"North Indian, Mughlai, South Indian, Chinese",4.1,Very Good,7157
50066,Barbeque Nation,"4005, HAL 2nd Stage, 100 Feet Road, Indiranagar, Bangalore",Indiranagar,12.9625771804,77.6415392384,"North Indian, European, Mediterranean, BBQ, Kebab",4.7,Excellent,7664
18734311,HQ,"75, Inorbit Mall, EPIP Area, Road 7, Whitefield, Bengaluru",Whitefield,12.9798646347,77.7278627828,"North Indian, Italian, Finger Food, Continental",4.3,Very Good,1001
18657127,eat.fit,"1/8, 1st Stage, 1st Cross, KK Computers Building, Shri Krishna Temple Road, Indiranagar, Bangalore",Indiranagar,12.9790475328,77.6415573433,"Healthy Food, North Indian, Biryani, Continental, Desserts",4.5,Excellent,944
18593506,eat.fit,"39/12, 5th Main Road, Iblur Village, Outer Ring Road, Bellandur, Bangalore",Bellandur,12.9214414670,77.6636993140,"Healthy Food, North Indian, Biryani, Continental, Desserts",4.4,Very Good,709
18339863,The Boozy Griffin,"20/7, 4th & 5th Floor, Swamy Legato, Outer Ring Road, Kadubeesanahalli, Marathahalli, Bangalore",Marathahalli,12.9394372569,77.6949913055,"European, Continental",4.8,Excellent,5248
59713,Al Amanah Cafe,"20, 5th Avenue, 5th Main Road, Kammanahalli, Bangalore",Kammanahalli,13.0155462635,77.6394397393,"Middle Eastern, Fast Food, Rolls",4.4,Very Good,1725
18605025,Wall Street 657,"657, Above KTM Bike Show Room, 100 Feet Road, Indiranagar, Bangalore",Indiranagar,12.9769670312,77.6408311352,"Finger Food, Continental",4.2,Very Good,2042
18379660,Cafe Azzure,"52, Brigade Road, Haridevpur, Shanthala Nagar, MG Road, Bangalore",MG Road,12.9749590430,77.6076025888,"Cafe, Continental, Italian, Burger",4.3,Very Good,2948
58268,The Fatty Bao - Asian Gastro Bar,"610, 3rd Floor, 12th Main, Off 80 Feet Road, Indiranagar, Bangalore",Indiranagar,12.9703369495,77.6452725381,"Japanese, Sushi, Asian",4.6,Excellent,3972
